,id,name,latitude,longitude,primary_category,popularity_rating,verified,tip_count,price_tier,likes,rating,delivery_available,menu_available,specials_count,photos_count,listed,twitter_available,instagram_available,facebook_available,url_available,outdoor seating,wi-fi,reservations,atm,tvs,private room,music,coat check,breakfast,dessert,happy hour,lunch,brunch,dinner,beer,wine,full bar,cocktails,street parking,public lot,live music,jukebox,bar service,bar snacks,tasting menu,valet parking,byo,parking,table service,price
65,56a947d3498e3983fb4d8791,Il Porcellino,41.8899803381675,-87.63038936429120,Italian Restaurant,,1,20,4,20,7.9,1,1,0,111,43,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
66,4d2ead246fc6f04d25848345,Hubbard Inn,41.890000432585000,-87.6315806870109,American Restaurant,,1,94,3,95,7.6,0,1,0,356,219,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
67,5441bc8b498e70910fa11726,The Kitchen,41.8879014,-87.6313118,American Restaurant,,0,21,4,122,8.6,0,1,0,147,114,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
68,4a737056f964a52070dc1fe3,ZED451,41.896023,-87.630916,Steakhouse,,1,108,4,264,8.1,0,0,0,389,237,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
69,5e14e8f1a10b9200083472de,RPM Seafood,41.88826128086950,-87.63081550598150,Seafood Restaurant,,0,6,4,9,8.3,1,1,0,46,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
70,4b53b49cf964a5208ca827e3,Ruth's Chris Steak House,41.8901981146158,-87.62942612171170,Steakhouse,,1,51,4,105,7.9,0,1,0,178,45,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
71,41fd7500f964a520501f1fe3,Harry Caray's Italian Steakhouse,41.889071055749500,-87.6294590845703,Steakhouse,,1,103,4,238,8.2,1,1,0,484,97,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
72,53bdc413498e161627668129,River Roast,41.88722166383860,-87.63208666502990,Restaurant,,1,53,4,208,8.7,1,1,0,221,142,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4
73,4e5e2fd5922ec2c0701c4218,Cantina Laredo,41.891137260466900,-87.62804501770830,Mexican Restaurant,,1,133,3,384,8.0,0,1,0,556,188,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
74,59906d516bd36b43bfb267d3,Portsmith,41.89419921974200,-87.62815275787420,Seafood Restaurant,,0,3,3,14,7.4,1,1,0,15,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
75,4a95690cf964a5201c2320e3,Fleming's Prime Steakhouse & Wine Bar,41.892239978753200,-87.62712604370040,Steakhouse,,1,46,3,88,7.0,0,1,0,128,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
76,56cf9a91498e63498992d215,Imperial Lamian,41.89017,-87.62815,Dumpling Restaurant,,0,42,3,81,6.3,0,0,0,143,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
77,49ebe3cbf964a5203f671fe3,The Bristol,41.921222830216200,-87.67775783701440,New American Restaurant,,0,101,3,81,8.3,1,1,0,199,433,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
78,4b3bfe1af964a520f57f25e3,Le Bouchon,41.9176517871679,-87.6775856419284,French Restaurant,,1,27,3,71,8.8,0,1,0,72,104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
79,56b2b238498ec9031ecf5c13,Asian Cajun,41.926061040342100,-87.66843413980500,Seafood Restaurant,,0,3,3,17,8.5,1,1,0,10,10,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80,5a03adb3b399f751314fa8c8,Café Robey,41.91056703001090,-87.67799172659350,French Restaurant,,0,4,3,31,9.1,0,0,0,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
81,5483b98e498ed2ba51fe0caa,Izakaya Mita,41.917630000000000,-87.67792,Japanese Restaurant,,0,16,4,48,7.3,0,1,0,25,39,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
82,5d670d124f6b66000873599c,Soul Crab,41.915904,-87.68762,Seafood Restaurant,,0,2,3,1,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
83,54296aa7498e36575ee9a8b6,Momotaro,41.8856673631326,-87.64860372619370,Japanese Restaurant,,0,91,4,127,9.1,1,1,0,333,553,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
84,5b1854154a7aae002cbe8e62,Aba,41.886852162003100,-87.64888478200850,Mediterranean Restaurant,11.0,0,17,4,42,9.4,1,1,0,179,350,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
85,4cc5b207c844721eb395f001,Maude's Liquor Bar,41.884465069793,-87.6489183730517,French Restaurant,,0,107,3,307,9.0,0,1,0,306,766,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3
86,4a08f159f964a52028741fe3,The Publican,41.886719047714100,-87.64883047492410,New American Restaurant,,0,354,3,911,9.0,0,1,0,1347,1907,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
87,59278d15da2e0026b1e8a065,Beatrix,41.886832752730700,-87.64895495261540,New American Restaurant,13.0,0,11,3,109,8.9,1,1,0,98,58,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
88,55b42cdb498e6093d451d365,Bar Siena,41.884690500000000,-87.64882740000000,Italian Restaurant,,1,45,4,270,8.7,1,1,0,263,128,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
89,548f607b498e7c9be549f4cb,The Izakaya,41.885832716333600,-87.64857404188220,Japanese Restaurant,,0,8,4,38,8.3,0,1,0,60,29,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
90,5d027eefad5f630050add575,Boqueria,41.886675212267000,-87.6478796011516,Tapas Restaurant,,0,4,3,11,8.3,1,0,0,27,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
91,4a53bc01f964a520abb21fe3,Carnivale,41.886909203428600,-87.64619594627350,Latin American Restaurant,,1,142,3,153,8.6,0,1,0,687,223,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3
92,5e2fc6820af4890008de55a4,Recess,41.88943536854160,-87.64947295188900,Restaurant,,0,3,3,10,8.3,1,1,0,30,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
93,4197f180f964a520181e1fe3,Avec,41.884503700962000,-87.64346655892970,New American Restaurant,15.0,0,207,3,543,9.2,1,1,0,731,1450,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
94,4a94b02df964a520532220e3,Piccolo Sogno,41.89085242143620,-87.6476981650622,Italian Restaurant,,1,111,3,342,9.3,1,1,0,278,637,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
95,56f091c8498e0070cb34e43a,St Lou's Assembly,41.885984190791600,-87.64563890693020,New American Restaurant,,0,15,3,76,7.9,1,0,0,72,90,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
96,577ea4a0498ea60dacc357d8,El Che Bar,41.883127689321800,-87.64905835481480,Restaurant,,0,9,4,52,7.4,0,1,0,32,79,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
97,526728db11d293604832307d,The Dawson,41.89113194583440,-87.64741092705730,New American Restaurant,,0,97,3,350,8.6,1,1,0,351,333,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
98,52f2d55411d24f3791a9943b,Tanoshii,41.88458314541100,-87.6465766326417,Sushi Restaurant,,1,19,3,24,7.5,0,1,0,32,37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
99,593f22ccfe37404c1ad6f0ad,Proxi,41.884359904500600,-87.64254935236140,New American Restaurant,,0,22,3,40,8.7,0,0,0,62,187,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
100,49dcd38ff964a520a95f1fe3,Sepia,41.883969387636000,-87.64266632976730,New American Restaurant,,0,63,4,101,8.3,0,1,0,162,454,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,4
101,59f24ee8178a2a3eed77233b,Bellemore,41.88443233863240,-87.6425711948749,New American Restaurant,,0,10,3,45,7.6,1,1,0,50,84,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
102,4bd3825f046076b09b4c7671,Santorini,41.87928858215840,-87.64735055201290,Greek Restaurant,,0,31,4,62,7.0,0,1,0,64,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
103,4c1a50a0b9f876b0ea6f7846,MetroKlub (Kosher),41.88123889859730,-87.64707507703240,American Restaurant,,1,3,3,2,,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
104,5766bff3498ebe1c9b367c47,The Oyster Bar at Mariano's,41.880558013916000,-87.64745330810550,Seafood Restaurant,,0,0,3,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
105,4f9c9968e4b0e9595b3cfaff,Chez Moi,41.920101963374900,-87.6486748096262,French Restaurant,,1,27,3,62,8.4,0,1,0,86,65,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3
106,4a74ca32f964a5209bdf1fe3,Sapori Trattoria,41.931555673532100,-87.6488073018168,Italian Restaurant,,1,88,3,60,8.7,1,1,0,167,130,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3
107,4adcf41bf964a520d96221e3,Tarascas International,41.930014716359200,-87.64323512364140,Mexican Restaurant,,0,38,3,68,7.9,1,0,0,80,19,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
108,5668d4fb498eede0b65b1841,Quality Crab & Oyster Bah,41.917911503744500,-87.64855368742120,Seafood Restaurant,,0,29,4,35,8.5,1,1,0,85,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
109,5952e3120336937901437793,Blue Door Farm Stand,41.91845335069250,-87.64854487473370,New American Restaurant,,0,7,3,30,7.6,1,0,0,30,36,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
110,5832529f9900e64a56be3eca,Kie-Gol-Lanee,41.97359455060920,-87.6549701507825,Mexican Restaurant,,0,1,3,7,8.3,1,0,0,20,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
111,49f0c67ff964a52056691fe3,Anna Maria Pasteria,41.96167907317610,-87.66618701619930,Italian Restaurant,,0,10,3,8,5.6,1,1,0,13,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
112,4a1dd042f964a520997b1fe3,Wakamono,41.94244775650500,-87.64450447304810,Sushi Restaurant,,0,54,3,68,8.2,0,1,0,94,48,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3
113,50ff4074e4b0a270f9b44316,Milt's Barbecue for the Perplexed,41.9437047473274,-87.64499751312440,BBQ Joint,,1,19,3,48,6.8,0,1,0,49,56,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
114,5932195afdb9a77bd8a3b372,Daisies,41.927223093556700,-87.70418640280160,New American Restaurant,,0,12,3,48,8.8,1,0,0,35,113,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
115,5f6cd1de4cff341d5040aa3f,Gretel,41.91748,-87.698216,New American Restaurant,,0,3,3,6,7.9,1,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
116,4a6de13ef964a5203ad31fe3,Tango Sur,41.95078161592030,-87.66414579060840,Argentinian Restaurant,,0,126,3,116,8.9,0,1,0,256,270,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
117,56a42f6a498e42e6074b741a,Grassroots,41.95035336958250,-87.66402961445870,New American Restaurant,,0,8,3,19,7.2,0,0,0,22,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
118,40b28c80f964a520ddfb1ee3,The Capital Grille,41.89339604134830,-87.62251092152570,American Restaurant,,1,60,3,156,8.7,0,1,0,197,96,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
119,56290b27498e2c6aacd233fe,Beatrix,41.89442501737260,-87.62253763566620,New American Restaurant,1.0,0,59,4,111,9.0,1,1,0,200,329,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
120,4abc187ff964a520588620e3,Volare Ristorante Italiano,41.89172060243640,-87.62259046540210,Italian Restaurant,,0,127,3,233,8.5,1,1,0,299,137,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
121,429e4c00f964a520b7241fe3,Bandera Restaurant,41.89206746072280,-87.62404443710990,New American Restaurant,,1,211,3,373,8.7,0,1,0,404,276,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3
122,5723af9b498ed2977266a012,Copper Fox Gastropub,41.8932383,-87.62312990000000,Gastropub,,1,11,3,45,8.1,1,1,0,63,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3
123,4a2ae23af964a52064961fe3,"Joe's Seafood, Prime Steak & Stone Crab",41.89182793479940,-87.62544444279390,Seafood Restaurant,6.0,1,218,3,282,9.4,1,1,0,906,696,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,3
124,53164839498e6fdf28f9e12e,Eddie V's Prime Seafood,41.89174036111380,-87.62516697056190,Seafood Restaurant,,1,17,3,67,8.5,0,1,0,96,28,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3
125,5aab0370d1a40279ad099659,Carsons Steak And Ribs,41.891248564611900,-87.61527667996020,Steakhouse,,0,6,4,14,8.3,1,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
126,4e4d56e822717c65aca7fab1,Michael Jordan's Steak House Chicago,41.8911369844041,-87.62415328505520,Steakhouse,,1,144,4,396,8.1,1,1,0,752,182,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
127,5303ead711d21c9427b55466,Side Door,41.8933980217555,-87.62523521528010,Gastropub,,0,31,3,72,8.4,0,0,0,116,56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
128,522fdf320493d5258ca1f8b0,Shake Shack,41.892561204664800,-87.6256458005343,Burger Joint,,1,131,3,746,8.5,1,0,0,561,161,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
129,57460d71cd1084eabbdb5785,Osteria Di Eataly,41.89232769658550,-87.62632460366400,Italian Restaurant,,0,4,3,21,8.6,0,1,0,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
130,4c45fae2f9652d7f38bd132b,The Lobby at The Peninsula,41.89614806541520,-87.62441110114810,American Restaurant,,1,27,3,59,8.7,0,1,0,197,107,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3
131,5952c0f59de23b74a3c5a198,Steak 48,41.89305998866390,-87.62672664913280,Steakhouse,14.0,1,34,3,69,8.9,0,1,0,73,45,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
